Depth;ABDCQF01;ABDCQF02;ABDCQF03;ABDCQF04;BS;CALI;DRHO;DT;DTS;GR;NPHI;PEF;RACEHM;RACELM;RHOB;ROP;RPCEHM;RPCELM;RT
3094;2.5933;2.6021;2.6043;2.5941;8.5;8.5781;0.0486;60.3248;105.5927;10.4558;0.0589;7.5631;10.6545;12.0673;2.5976;11.5043;9.6085;10.2741;9.6085
3094.1;2.5894;2.5996;2.6069;2.5911;8.5;8.5781;0.0488;60.3114;105.4582;11.1636;0.0578;7.5873;10.6876;12.1904;2.5967;11.0586;9.8538;10.4133;9.8538
3094.2;2.5854;2.5986;2.6087;2.5909;8.5;8.5781;0.0493;60.2979;105.2342;11.5653;0.0564;7.6333;10.7141;12.1428;2.5964;10.6141;10.2134;10.647;10.2134
3094.3;2.5845;2.5997;2.6088;2.5938;8.5;8.5781;0.05;60.2844;105.0102;10.6935;0.0551;7.6916;10.7694;12.1118;2.5972;10.565;10.4725;10.8326;10.4725
3094.4;2.5859;2.6015;2.607;2.5977;8.5;8.5781;0.0504;60.2692;104.7658;10.5864;0.0543;7.7177;10.9097;12.1735;2.5981;10.5159;11.147;11.2876;11.147
3094.5;2.5869;2.6017;2.6051;2.6002;8.5;8.5781;0.0502;60.2533;104.5129;9.6177;0.054;7.6906;11.0201;12.256;2.5982;10.4667;11.5347;11.5497;11.5347
3094.6;2.587;2.5996;2.6048;2.5997;8.5;8.5781;0.0496;60.2373;104.2601;9.1526;0.0541;7.6322;11.1159;12.2511;2.5972;10.4176;11.5888;11.6024;11.5888
3094.7;2.5878;2.5971;2.605;2.5972;8.5;8.5781;0.0494;60.223;104.0709;8.6862;0.0544;7.5815;11.1669;12.3173;2.5957;10.3685;11.5559;11.5781;11.5559
3094.8;2.5891;2.596;2.6039;2.5936;8.5;8.5781;0.0493;60.2097;103.915;7.7726;0.0547;7.5542;11.2036;12.347;2.5939;10.3195;11.5032;11.5589;11.5032
3094.9;2.5895;2.5962;2.6006;2.5887;8.5;8.5781;0.0491;60.1963;103.7595;7.2318;0.055;7.5377;11.2457;12.3655;2.5916;10.3648;11.5021;11.5807;11.5021
3095;2.5878;2.595;2.5963;2.5832;8.5;8.5781;0.0484;60.1761;103.7243;7.2083;0.0551;7.5246;11.322;12.4664;2.5883;10.41;11.5518;11.6282;11.5518
3095.1;2.5844;2.5914;2.5935;2.5787;8.5;8.5781;0.0473;60.1518;103.7667;7.1328;0.0551;7.5054;11.3514;12.4247;2.5849;10.4552;11.5883;11.6652;11.5883
3095.2;2.5807;2.5871;2.5937;2.5765;8.5;8.5781;0.0459;60.1274;103.8093;6.678;0.0552;7.4731;11.3558;12.4438;2.5828;10.5048;11.4638;11.5991;11.4638
3095.3;2.5779;2.5849;2.5967;2.5772;8.5;8.5781;0.0442;60.1054;103.9387;6.9829;0.0553;7.4288;11.3632;12.4947;2.5828;10.5545;11.5082;11.6267;11.5082
3095.4;2.5757;2.5853;2.6003;2.5799;8.5;8.5782;0.0425;60.085;104.1362;6.7601;0.0554;7.3967;11.4627;12.5398;2.5841;10.6042;11.6616;11.7741;11.6616
3095.5;2.5742;2.5868;2.6026;2.5844;8.5;8.625;0.0411;60.0647;104.3335;6.8102;0.0527;7.4075;11.5291;12.6919;2.5861;10.6653;11.7704;11.8251;11.7704
3095.6;2.5725;2.5888;2.6031;2.5902;8.5;8.625;0.0402;60.0522;104.5195;7.2613;0.0526;7.4624;11.5206;12.4674;2.5885;10.7263;11.7157;11.857;11.7157
3095.7;2.5706;2.5914;2.6033;2.5954;8.5;8.6133;0.0396;60.047;104.6946;7.3452;0.0524;7.5289;11.5334;12.5811;2.5912;10.7874;11.4738;11.7145;11.4738
